2026-04-11 14:44:43 | INFO     | appLogger | set_logger  : 18  | --------------------------------------------------------------------------------
2026-04-11 14:44:43 | INFO     | appLogger | set_logger  : 19  | 开始时间: 2026-04-11 14:44:43
2026-04-11 14:44:43 | INFO     | appLogger | set_logger  : 20  | --------------------------------------------------------------------------------
2026-04-11 14:44:59 | INFO     | appLogger | tts_service : 148 | Initialize engine is starting
2026-04-11 14:44:59 | INFO     | appLogger | tts_service : 155 | Initialize engine successfully
2026-04-11 14:44:59 | INFO     | appLogger | tts_service : 159 | Set rate: 200
2026-04-11 14:44:59 | INFO     | appLogger | tts_service : 163 | Available voices: 2
2026-04-11 14:44:59 | INFO     | appLogger | tts_service : 168 | Check voice: HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech\Voices\Tokens\TTS_MS_ZH-CN_HUIHUI_11.0
2026-04-11 14:44:59 | INFO     | appLogger | tts_service : 171 | Set Chinese voice: HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech\Voices\Tokens\TTS_MS_ZH-CN_HUIHUI_11.0
2026-04-11 14:45:30 | INFO     | appLogger | asr_worker  : 18  | [ASR] 获取问题所需时间：15
2026-04-11 14:45:30 | INFO     | appLogger | asr_worker  : 23  | [ASR] 用户问题：上下培养戏 (sid=1)
2026-04-11 14:45:30 | INFO     | appLogger | llm_worker  : 16  | [LLM] 开始生成 sid=1
2026-04-11 14:45:40 | INFO     | appLogger | llm_service : 63  | sentence: 根据提供的参考信息，未发现“上下培养戏”这一戏种的记载。
2026-04-11 14:45:40 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 根据提供的参考信息，未发现“上下培养戏”这一戏种的记载。 (sid=1)
2026-04-11 14:45:40 | INFO     | appLogger | tts_service : 47  | [TTS] start sid=1, text=根据提供的参考信息，未发现“上下培养戏”这一戏种的记载。...
2026-04-11 14:45:41 | INFO     | appLogger | llm_service : 63  | sentence: 若需了解黄河流域非遗相关戏种，可关注汉剧、皮影戏、木偶戏、狮舞等传统艺术形式。
2026-04-11 14:45:41 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 若需了解黄河流域非遗相关戏种，可关注汉剧、皮影戏、木偶戏、狮舞等传统艺术形式。 (sid=1)
2026-04-11 14:45:41 | INFO     | appLogger | llm_worker  : 43  | [LLM] 生成时间为：9.950354
2026-04-11 14:45:42 | INFO     | appLogger | tts_service : 76  | [TTS] synth time: 1.80s, play...
2026-04-11 14:45:42 | INFO     | appLogger | tts_service : 81  | [TTS-Tone] 首字开始播放时间：1.814819
2026-04-11 14:45:48 | INFO     | appLogger | tts_service : 91  | [TTS] play completed
2026-04-11 14:45:48 | INFO     | appLogger | tts_service : 47  | [TTS] start sid=1, text=若需了解黄河流域非遗相关戏种，可关注汉剧、皮影戏、木偶戏、狮...
2026-04-11 14:45:49 | INFO     | appLogger | tts_service : 76  | [TTS] synth time: 1.53s, play...
2026-04-11 14:45:49 | INFO     | appLogger | tts_service : 81  | [TTS-Tone] 首字开始播放时间：1.542897
2026-04-11 14:45:59 | INFO     | appLogger | tts_service : 91  | [TTS] play completed
2026-04-11 14:46:15 | INFO     | appLogger | asr_worker  : 18  | [ASR] 获取问题所需时间：45
2026-04-11 14:46:15 | INFO     | appLogger | asr_worker  : 23  | [ASR] 用户问题：我介绍一下平壤戏 (sid=2)
2026-04-11 14:46:15 | INFO     | appLogger | llm_worker  : 16  | [LLM] 开始生成 sid=2
2026-04-11 14:46:23 | INFO     | appLogger | llm_service : 63  | sentence: 平壤戏并非黄河流域非遗体系中的戏种，相关资料中未见其记载。
2026-04-11 14:46:23 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 平壤戏并非黄河流域非遗体系中的戏种，相关资料中未见其记载。 (sid=2)
2026-04-11 14:46:23 | INFO     | appLogger | tts_service : 39  | [TTS] 任务 1 总响应时间：43.277s
2026-04-11 14:46:23 | INFO     | appLogger | tts_service : 47  | [TTS] start sid=2, text=平壤戏并非黄河流域非遗体系中的戏种，相关资料中未见其记载。...
2026-04-11 14:46:24 | INFO     | appLogger | llm_service : 63  | sentence: 若想了解黄河流域非遗，可关注汉剧、皮影戏、木偶戏、狮舞等传统艺术形式。
2026-04-11 14:46:24 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 若想了解黄河流域非遗，可关注汉剧、皮影戏、木偶戏、狮舞等传统艺术形式。 (sid=2)
2026-04-11 14:46:25 | INFO     | appLogger | tts_service : 76  | [TTS] synth time: 1.76s, play...
2026-04-11 14:46:25 | INFO     | appLogger | tts_service : 81  | [TTS-Tone] 首字开始播放时间：1.773044
2026-04-11 14:46:25 | INFO     | appLogger | llm_service : 63  | sentence: 这些戏种承载着黄河沿岸的文化记忆，如汉剧的二簧唱腔、皮影戏的光影技艺、狮舞的腾跃技艺等，皆为非遗保护的典范。
2026-04-11 14:46:25 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 这些戏种承载着黄河沿岸的文化记忆，如汉剧的二簧唱腔、皮影戏的光影技艺、狮舞的腾跃技艺等，皆为非遗保护的典范。 (sid=2)
