2026-04-09 19:42:26 | INFO     | appLogger | set_logger  : 18  | --------------------------------------------------------------------------------
2026-04-09 19:42:26 | INFO     | appLogger | set_logger  : 19  | 开始时间: 2026-04-09 19:42:26
2026-04-09 19:42:26 | INFO     | appLogger | set_logger  : 20  | --------------------------------------------------------------------------------
2026-04-09 19:43:30 | INFO     | appLogger | asr_worker  : 18  | [ASR] 获取问题所需时间：27
2026-04-09 19:43:30 | INFO     | appLogger | asr_worker  : 23  | [ASR] 用户问题：介绍一下皮影戏 (sid=1)
2026-04-09 19:43:30 | INFO     | appLogger | llm_worker  : 16  | [LLM] 开始生成 sid=1
2026-04-09 19:43:38 | INFO     | appLogger | llm_service : 63  | sentence: 皮影戏是河南省非物质文化遗产，分为桐柏皮影戏（国家级）和信阳皮影戏（省级）两种形式。
2026-04-09 19:43:38 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 皮影戏是河南省非物质文化遗产，分为桐柏皮影戏（国家级）和信阳皮影戏（省级）两种形式。 (sid=1)
2026-04-09 19:43:39 | INFO     | appLogger | llm_service : 63  | sentence: 桐柏皮影戏以精湛的技艺和丰富的故事情节闻名，常通过灯光投影展现戏剧场景，被誉为“东方的戏剧艺术”。
2026-04-09 19:43:39 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 桐柏皮影戏以精湛的技艺和丰富的故事情节闻名，常通过灯光投影展现戏剧场景，被誉为“东方的戏剧艺术”。 (sid=1)
2026-04-09 19:43:40 | INFO     | appLogger | llm_service : 63  | sentence: 信阳皮影戏则以朴实的风格和浓郁的地方特色著称，传承至今，是黄河流域传统戏剧的重要组成部分。
2026-04-09 19:43:40 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 信阳皮影戏则以朴实的风格和浓郁的地方特色著称，传承至今，是黄河流域传统戏剧的重要组成部分。 (sid=1)
2026-04-09 19:43:40 | INFO     | appLogger | llm_worker  : 43  | [LLM] 生成时间为：8.823646
2026-04-09 19:44:01 | INFO     | appLogger | app_controller : 77  | 收到退出信号：2
2026-04-09 19:44:01 | INFO     | appLogger | app_controller : 72  | 程序终止，保存时间戳...
2026-04-09 19:44:01 | INFO     | appLogger | app_controller : 67  | 执行 finally 块，保存时间戳...
